Epoch No	LR            	Loss          	CNN PSNR  	CNN SSIM  
       0	1.00000000e-04	1.07138629e-02	27.67737573	0.88771866
       1	1.00000000e-04	2.90901004e-03	27.89546582	0.89141629
       2	1.00000000e-04	2.84160128e-03	27.97121290	0.89308833
       3	1.00000000e-04	2.80586573e-03	27.99785006	0.89361924
       4	1.00000000e-04	2.78215724e-03	28.03713283	0.89465546
       5	1.00000000e-04	2.76196846e-03	28.05027962	0.89507284
       6	1.00000000e-04	2.74204124e-03	28.06981382	0.89550534
       7	1.00000000e-04	2.73703018e-03	28.10522137	0.89652961
       8	1.00000000e-04	2.72163790e-03	28.12264105	0.89668467
       9	1.00000000e-04	2.71785557e-03	28.15742870	0.89753548
      10	1.00000000e-04	2.70000111e-03	28.15050110	0.89752296
      11	1.00000000e-04	2.69533534e-03	28.16154179	0.89759484
      12	1.00000000e-04	2.69122538e-03	28.17148973	0.89796491
      13	1.00000000e-04	2.68285138e-03	28.17885748	0.89861114
      14	1.00000000e-04	2.68017038e-03	28.18266104	0.89818219
      15	1.00000000e-04	2.67200254e-03	28.19085369	0.89831211
      16	1.00000000e-04	2.67026657e-03	28.20314214	0.89883345
      17	1.00000000e-04	2.66208510e-03	28.20800106	0.89919980
      18	1.00000000e-04	2.65662653e-03	28.19312282	0.89854093
      19	1.00000000e-04	2.65306772e-03	28.18830448	0.89927380
      20	1.00000000e-04	2.64655998e-03	28.15372020	0.90000470
      21	1.00000000e-04	2.64367845e-03	28.18159698	0.89818418
      22	1.00000000e-04	2.64331385e-03	28.20794319	0.89915280
      23	1.00000000e-04	2.63460116e-03	28.19286581	0.89893276
      24	1.00000000e-04	2.62805822e-03	28.25504829	0.90000911
      25	1.00000000e-04	2.62362623e-03	28.26287620	0.90056123
      26	1.00000000e-04	2.62431727e-03	28.24583839	0.89988761
      27	1.00000000e-04	2.62213241e-03	28.24174440	0.89981133
      28	1.00000000e-04	2.61872473e-03	28.17298764	0.90041505
      29	1.00000000e-04	2.61773653e-03	28.26718399	0.90091611
      30	1.00000000e-04	2.61318328e-03	28.26217521	0.90080514
      31	1.00000000e-04	2.61059369e-03	28.28234457	0.90108629
      32	1.00000000e-04	2.60653871e-03	28.26361802	0.90028197
      33	1.00000000e-04	2.60375240e-03	28.26095553	0.90048552
      34	1.00000000e-04	2.59973918e-03	28.24863844	0.90068577
      35	1.00000000e-04	2.59868389e-03	28.26199721	0.90038700
      36	1.00000000e-04	2.59343425e-03	28.28833390	0.90114420
      37	1.00000000e-04	2.59272174e-03	28.29484762	0.90123679
      38	1.00000000e-04	2.59209918e-03	28.28794909	0.90118700
      39	1.00000000e-04	2.59142785e-03	28.30808763	0.90153772
      40	1.00000000e-04	2.58953183e-03	28.22872819	0.90076504
      41	1.00000000e-04	2.58347076e-03	28.26542407	0.90057196
      42	1.00000000e-04	2.57987714e-03	28.24256850	0.90066542
      43	1.00000000e-04	2.58488863e-03	28.23042952	0.90107624
      44	1.00000000e-04	2.57670102e-03	28.29943624	0.90216763
      45	1.00000000e-04	2.57747837e-03	28.24759817	0.90040552
      46	1.00000000e-04	2.57642677e-03	28.31018099	0.90163797
      47	1.00000000e-04	2.57352905e-03	28.30418109	0.90127505
      48	1.00000000e-04	2.56808400e-03	28.29512338	0.90154354
      49	1.00000000e-04	2.56581400e-03	28.28374403	0.90191281
      50	1.00000000e-04	2.56838430e-03	28.25598235	0.90018043
      51	1.00000000e-04	2.56614765e-03	28.32850184	0.90209678
      52	1.00000000e-04	2.56326303e-03	28.30607759	0.90201922
      53	1.00000000e-04	2.56560063e-03	28.33471040	0.90215010
      54	1.00000000e-04	2.56162766e-03	28.33064781	0.90235227
      55	1.00000000e-04	2.56171872e-03	28.32693436	0.90294065
      56	1.00000000e-04	2.55979252e-03	28.26216050	0.90110034
      57	1.00000000e-04	2.55733158e-03	28.33789232	0.90263318
      58	1.00000000e-04	2.55294451e-03	28.33459621	0.90234050
      59	1.00000000e-04	2.55483176e-03	28.29703768	0.90175196
      60	1.00000000e-04	2.55299526e-03	28.32247915	0.90261888
      61	1.00000000e-04	2.54970069e-03	28.30678133	0.90189685
      62	1.00000000e-04	2.55215326e-03	28.27584599	0.90296607
      63	1.00000000e-04	2.54838764e-03	28.29956859	0.90172242
      64	1.00000000e-04	2.54765449e-03	28.32191702	0.90289690
      65	1.00000000e-04	2.54570783e-03	28.30177570	0.90240255
      66	1.00000000e-04	2.54747327e-03	28.33598170	0.90234287
      67	1.00000000e-04	2.54471140e-03	28.21905143	0.90165236
      68	1.00000000e-04	2.54771525e-03	28.25535761	0.90114809
      69	1.00000000e-04	2.54229769e-03	28.33781790	0.90272749
      70	1.00000000e-04	2.54510810e-03	28.33735730	0.90228267
      71	1.00000000e-04	2.53922830e-03	28.32126951	0.90211931
      72	1.00000000e-04	2.54168864e-03	28.33328265	0.90310707
      73	1.00000000e-04	2.54332011e-03	28.31226378	0.90197177
      74	1.00000000e-04	2.54148985e-03	28.36166115	0.90319811
      75	1.00000000e-04	2.53817780e-03	28.23651186	0.90090547
      76	1.00000000e-04	2.53986849e-03	28.33697027	0.90243875
      77	1.00000000e-04	2.53578994e-03	28.34930419	0.90292155
      78	1.00000000e-04	2.53484570e-03	28.32194724	0.90267771
      79	1.00000000e-04	2.53250395e-03	28.30720369	0.90282277
      80	1.00000000e-04	2.53639546e-03	28.32660520	0.90283793
      81	1.00000000e-04	2.53605505e-03	28.30638349	0.90252027
      82	1.00000000e-04	2.53437297e-03	28.35415175	0.90301080
      83	1.00000000e-04	2.53261430e-03	28.34644550	0.90311047
