Parameters:
 Namespace(case_num=2, config_num=177, interp_scale=3, interp_method='TORCH', fixed_dnn='RCAN', model='RCAN', n_resblocks=20, n_feats=64, res_scale=1, shift_mean=True, n_resgroups=10, reduction=16, rgb_range=255, n_colors=3, print_model=False, save_models=False, chop=False, self_ensemble=False, pre_train='../Learned_RCAN_Models/RCAN_BIX3.pt', alpha=1.0, epsilon=0.1, rho=1.0, tol=1e-05, maxiter_forward=200, miniter_forward=5, maxiter_backward=80, miniter_backward=5, beta=0.9, jac_regul=False, jac_loss_weight=1.0, jac_loss_freq=0.35, jac_incremental=3500, spectral_radius_mode=False, dncnn_frozen=False, dncnn_num_layers=6, dncnn_lip=0.9, dncnn_bias=False, dncnn_bn=False, dncnn_skip=False, dncnn_weight_file='../Learned_DNCNN_Models/T91/RealSN_DnCNN/Layers_6/BN_False/sigma_0.01250_0.02500/best.pth', dncnn_lr=0.0001, sigmaL=0.0625, sigmaH=0.125, optimizer='adam', lr=0.0001, alpha_lr=0.001, decrease_lr=True, lr_step=60, lr_gamma=0.1, clip_grad=False, clip_norm=0.01, batch_size=512, num_epochs=80, num_workers=4, datasets_dir='../Data/', train_data='T91', eval_data='Set5', last_checkpoint='', best_weight_file='../Learned_DEQSR_Models/T91/RCAN/x2/Case_2/Config_176/best.pth', output_dir='../Learned_DEQSR_Models', seed=123, use_gpu=True, verbose=True, verbose2=True)
Epoch No	LR            	Loss          	Val_Loss      	DF            	PSNR      	SSIM      	Beta      
      41	1.00000000e-03	4.41082342e-03	3.37882875e-04	9.99669597e-02	35.39523595	0.94991751	0.52611095
      42	1.00000000e-03	4.40991617e-03	3.37852913e-04	9.99706954e-02	35.39503362	0.94993680	0.51854604
      43	1.00000000e-03	4.41024888e-03	3.37788623e-04	9.99618053e-02	35.39458587	0.94991575	0.51224256
      44	1.00000000e-03	4.40955030e-03	3.37811466e-04	9.99797642e-02	35.39619739	0.94994128	0.50516325
      45	1.00000000e-03	4.41052736e-03	3.37949238e-04	9.99696508e-02	35.39398439	0.94991451	0.49723831
      46	1.00000000e-03	4.41082654e-03	3.37914049e-04	9.99760404e-02	35.39480223	0.94991625	0.49012399
      47	1.00000000e-03	4.41059342e-03	3.38015580e-04	9.99873430e-02	35.39578902	0.94989407	0.48503470
      48	1.00000000e-03	4.41003833e-03	3.38092120e-04	9.99634951e-02	35.39242361	0.94987192	0.47864076
      49	1.00000000e-03	4.40804795e-03	3.37984384e-04	9.99787524e-02	35.39384948	0.94992517	0.47156060
      50	1.00000000e-03	4.41064946e-03	3.38212334e-04	9.99734893e-02	35.39190622	0.94989224	0.46505785
      51	1.00000000e-03	4.40944929e-03	3.38250396e-04	9.99739155e-02	35.39151771	0.94986285	0.45885146
      52	1.00000000e-03	4.40999124e-03	3.38154926e-04	9.99727860e-02	35.39248109	0.94989774	0.45255628
      53	1.00000000e-03	4.40901316e-03	3.38457234e-04	9.99810413e-02	35.39110415	0.94983700	0.44866574
      54	1.00000000e-03	4.41009911e-03	3.38291179e-04	9.99735981e-02	35.39135761	0.94989812	0.44135249
      55	1.00000000e-03	4.40916250e-03	3.38266842e-04	9.99774158e-02	35.39190369	0.94989782	0.43630087
      56	1.00000000e-03	4.40899577e-03	3.38163559e-04	9.99707267e-02	35.39118327	0.94986613	0.43255886
      57	1.00000000e-03	4.40926344e-03	3.38182680e-04	9.99669626e-02	35.39115972	0.94991443	0.42591935
      58	1.00000000e-03	4.41098086e-03	3.38293368e-04	9.99654770e-02	35.39084392	0.94990696	0.41999152
      59	1.00000000e-03	4.40916297e-03	3.38067391e-04	9.99744803e-02	35.39280685	0.94989903	0.41579458
      60	1.00000000e-04	4.40907628e-03	3.38150052e-04	9.99704137e-02	35.39148152	0.94989268	0.41497442
      61	1.00000000e-04	4.41134037e-03	3.38240131e-04	9.99683589e-02	35.39079042	0.94988892	0.41387513
      62	1.00000000e-04	4.41037777e-03	3.38242782e-04	9.99647737e-02	35.39052566	0.94988590	0.41331699
      63	1.00000000e-04	4.40908007e-03	3.38276263e-04	9.99706924e-02	35.39022418	0.94988620	0.41257700
      64	1.00000000e-04	4.40970233e-03	3.38307879e-04	9.99723852e-02	35.39020032	0.94988882	0.41182920
      65	1.00000000e-04	4.40981440e-03	3.38328822e-04	9.99694109e-02	35.38977638	0.94988092	0.41125327
      66	1.00000000e-04	4.40901030e-03	3.38281723e-04	9.99691069e-02	35.38999834	0.94988849	0.41075745
      67	1.00000000e-04	4.40814613e-03	3.38277096e-04	9.99677524e-02	35.39001901	0.94988558	0.41018716
      68	1.00000000e-04	4.40879136e-03	3.38339148e-04	9.99707997e-02	35.38987523	0.94988263	0.40924817
      69	1.00000000e-04	4.40826384e-03	3.38289901e-04	9.99686778e-02	35.38976493	0.94988652	0.40896273
      70	1.00000000e-04	4.40885040e-03	3.38343784e-04	9.99700725e-02	35.38970864	0.94988264	0.40806109
      71	1.00000000e-04	4.41060068e-03	3.38308275e-04	9.99694288e-02	35.38970707	0.94988305	0.40782046
      72	1.00000000e-04	4.40935005e-03	3.38309983e-04	9.99717250e-02	35.38987594	0.94988708	0.40736598
      73	1.00000000e-04	4.41048888e-03	3.38334611e-04	9.99691710e-02	35.38950882	0.94988037	0.40676761
      74	1.00000000e-04	4.40921933e-03	3.38277020e-04	9.99683291e-02	35.38962035	0.94988874	0.40645674
      75	1.00000000e-04	4.40834880e-03	3.38337474e-04	9.99703199e-02	35.38966372	0.94988390	0.40574360
      76	1.00000000e-04	4.40756936e-03	3.38298752e-04	9.99689952e-02	35.38973296	0.94988631	0.40541786
      77	1.00000000e-04	4.40967905e-03	3.38350725e-04	9.99679983e-02	35.38941848	0.94988131	0.40470323
      78	1.00000000e-04	4.40984730e-03	3.38365597e-04	9.99694407e-02	35.38919728	0.94987973	0.40408683
      79	1.00000000e-04	4.40866964e-03	3.38364096e-04	9.99695405e-02	35.38922951	0.94987978	0.40354288
Best Epoch:3 with PSNR: 35.4938
