Epoch No	LR            	Loss          	CNN PSNR  	CNN SSIM  
       0	1.00000000e-04	9.20432895e-03	30.16478044	0.93201400
       1	1.00000000e-04	2.12619448e-03	30.35676475	0.93423646
       2	1.00000000e-04	2.04875744e-03	30.47707011	0.93543950
       3	1.00000000e-04	2.00905777e-03	30.53542126	0.93603081
       4	1.00000000e-04	1.98130236e-03	30.51102563	0.93669778
       5	1.00000000e-04	1.96275786e-03	30.63006912	0.93750448
       6	1.00000000e-04	1.94981883e-03	30.65091503	0.93784672
       7	1.00000000e-04	1.93572405e-03	30.70590057	0.93854762
       8	1.00000000e-04	1.92665518e-03	30.72571981	0.93883889
       9	1.00000000e-04	1.91875984e-03	30.75273256	0.93909760
      10	1.00000000e-04	1.91029432e-03	30.73884409	0.93931382
      11	1.00000000e-04	1.90324055e-03	30.80388299	0.93988167
      12	1.00000000e-04	1.89638861e-03	30.83415619	0.94023435
      13	1.00000000e-04	1.89055147e-03	30.77003121	0.93994567
      14	1.00000000e-04	1.88644831e-03	30.85539133	0.94051723
      15	1.00000000e-04	1.88221916e-03	30.82381516	0.94039363
      16	1.00000000e-04	1.87522876e-03	30.84496774	0.94047705
      17	1.00000000e-04	1.86936610e-03	30.88333354	0.94083291
      18	1.00000000e-04	1.86496302e-03	30.84569805	0.94079425
      19	1.00000000e-04	1.86404293e-03	30.91348527	0.94154849
      20	1.00000000e-04	1.85611829e-03	30.89902927	0.94106125
      21	1.00000000e-04	1.85481303e-03	30.94561871	0.94183384
      22	1.00000000e-04	1.85102498e-03	30.77703503	0.94095759
      23	1.00000000e-04	1.84741479e-03	30.89864073	0.94115143
      24	1.00000000e-04	1.84449662e-03	30.91595412	0.94140818
      25	1.00000000e-04	1.84287193e-03	30.96285835	0.94201085
      26	1.00000000e-04	1.83993234e-03	30.94338527	0.94175312
      27	1.00000000e-04	1.83608254e-03	30.86682575	0.94172749
      28	1.00000000e-04	1.83491158e-03	30.98263512	0.94255367
      29	1.00000000e-04	1.83240347e-03	30.86552081	0.94181696
      30	1.00000000e-04	1.82915082e-03	30.97017956	0.94257870
      31	1.00000000e-04	1.82499200e-03	30.99455504	0.94262843
      32	1.00000000e-04	1.82208986e-03	31.00846757	0.94262300
      33	1.00000000e-04	1.82040183e-03	30.97884633	0.94226085
      34	1.00000000e-04	1.81891859e-03	30.95660317	0.94209550
      35	1.00000000e-04	1.81617655e-03	30.95554639	0.94194408
      36	1.00000000e-04	1.81401437e-03	31.02033266	0.94293286
      37	1.00000000e-04	1.81346592e-03	30.99510754	0.94244620
      38	1.00000000e-04	1.80844149e-03	31.02755541	0.94282857
      39	1.00000000e-04	1.80854944e-03	30.93674928	0.94208842
      40	1.00000000e-04	1.80554407e-03	31.00583563	0.94283020
      41	1.00000000e-04	1.80304037e-03	30.98016671	0.94243685
      42	1.00000000e-04	1.80333985e-03	31.01150548	0.94340777
      43	1.00000000e-04	1.79999087e-03	31.04697159	0.94348224
      44	1.00000000e-04	1.79823158e-03	30.90003843	0.94280630
      45	1.00000000e-04	1.79880576e-03	31.05395880	0.94342125
      46	1.00000000e-04	1.79456311e-03	31.02958501	0.94307790
      47	1.00000000e-04	1.79558301e-03	30.93570672	0.94320362
      48	1.00000000e-04	1.79411590e-03	31.05313111	0.94351456
      49	1.00000000e-04	1.79143584e-03	30.99508707	0.94305106
      50	1.00000000e-04	1.79110320e-03	31.06388881	0.94360427
      51	1.00000000e-04	1.78843727e-03	31.04325416	0.94383291
      52	1.00000000e-04	1.78712515e-03	31.03241822	0.94316886
      53	1.00000000e-04	1.78565712e-03	31.03719939	0.94309816
      54	1.00000000e-04	1.78480730e-03	31.06284015	0.94374268
      55	1.00000000e-04	1.78468730e-03	31.08772997	0.94393964
      56	1.00000000e-04	1.78273432e-03	31.05117932	0.94370808
      57	1.00000000e-04	1.78177043e-03	31.03542490	0.94342064
      58	1.00000000e-04	1.78160871e-03	31.02870838	0.94387602
      59	1.00000000e-04	1.77961787e-03	31.04835333	0.94334970
      60	1.00000000e-04	1.77826297e-03	31.04460075	0.94355639
      61	1.00000000e-04	1.77678750e-03	30.99711574	0.94236046
      62	1.00000000e-04	1.77680134e-03	31.06126067	0.94364700
      63	1.00000000e-04	1.77576764e-03	31.08774088	0.94388174
      64	1.00000000e-04	1.77500574e-03	31.07707990	0.94372856
      65	1.00000000e-04	1.77308664e-03	31.03573677	0.94372229
      66	1.00000000e-04	1.77276424e-03	31.05872984	0.94371838
      67	1.00000000e-04	1.77131031e-03	31.01191249	0.94307502
      68	1.00000000e-04	1.77053229e-03	31.04836520	0.94337187
      69	1.00000000e-04	1.77067447e-03	31.08382015	0.94387237
      70	1.00000000e-04	1.76858188e-03	31.03148650	0.94359566
      71	1.00000000e-04	1.76805782e-03	31.07275319	0.94345828
      72	1.00000000e-04	1.76775670e-03	31.10622286	0.94420247
      73	1.00000000e-04	1.76768949e-03	31.04945863	0.94337213
      74	1.00000000e-04	1.76528169e-03	31.09529928	0.94407765
      75	1.00000000e-04	1.76542078e-03	31.07654677	0.94367594
      76	1.00000000e-04	1.76450726e-03	31.08070366	0.94395561
      77	1.00000000e-04	1.76396820e-03	31.03006576	0.94327567
      78	1.00000000e-04	1.76212927e-03	31.08248224	0.94407047
      79	1.00000000e-04	1.76234923e-03	31.04725247	0.94407291
      80	1.00000000e-04	1.76128134e-03	31.08441577	0.94410539
      81	1.00000000e-04	1.76030814e-03	31.11093107	0.94423034
      82	1.00000000e-04	1.75974132e-03	31.12315182	0.94432829
      83	1.00000000e-04	1.75970937e-03	31.06120035	0.94364312
      84	1.00000000e-04	1.75969302e-03	31.07875659	0.94393434
      85	1.00000000e-04	1.75964487e-03	31.10206808	0.94431817
      86	1.00000000e-04	1.75771025e-03	31.11948875	0.94418279
      87	1.00000000e-04	1.75516697e-03	31.05173165	0.94397171
      88	1.00000000e-04	1.75589767e-03	31.04178846	0.94321079
      89	1.00000000e-04	1.75676873e-03	31.09193986	0.94395335
      90	1.00000000e-04	1.75470560e-03	30.99222145	0.94348246
      91	1.00000000e-04	1.75551450e-03	31.10909700	0.94442119
      92	1.00000000e-04	1.75384365e-03	31.09940824	0.94396897
      93	1.00000000e-04	1.75344585e-03	31.12958191	0.94452999
      94	1.00000000e-04	1.75262600e-03	31.10875632	0.94420406
      95	1.00000000e-04	1.75228019e-03	31.10949190	0.94448543
      96	1.00000000e-04	1.75149021e-03	31.11564273	0.94481160
      97	1.00000000e-04	1.74970177e-03	31.05413098	0.94330003
      98	1.00000000e-04	1.75112953e-03	31.07078344	0.94376249
      99	1.00000000e-04	1.74924676e-03	31.06566268	0.94382993
     100	1.00000000e-04	1.74969357e-03	30.94386547	0.94359607
     101	1.00000000e-04	1.74895863e-03	31.13321348	0.94482473
     102	1.00000000e-04	1.74793808e-03	31.11977622	0.94430613
     103	1.00000000e-04	1.74718055e-03	31.14033897	0.94477384
     104	1.00000000e-04	1.74607214e-03	31.12892741	0.94459089
     105	1.00000000e-04	1.74520097e-03	31.14657602	0.94489911
     106	1.00000000e-04	1.74628682e-03	31.13311532	0.94481547
     107	1.00000000e-04	1.74598635e-03	31.16665028	0.94497999
     108	1.00000000e-04	1.74435097e-03	31.05631758	0.94436675
     109	1.00000000e-04	1.74436036e-03	31.12882507	0.94441757
