Epoch No	LR            	Loss          	CNN PSNR  	CNN SSIM  
      95	1.00000000e-04	6.10684765e-04	35.77765336	0.97557794
      96	1.00000000e-04	6.09984445e-04	35.71139032	0.97558480
      97	1.00000000e-04	6.10292115e-04	35.75700702	0.97570344
      98	1.00000000e-04	6.09767576e-04	35.74123333	0.97557654
      99	1.00000000e-04	6.09808012e-04	35.76336789	0.97563397
     100	1.00000000e-04	6.08634527e-04	35.77804061	0.97571770
     101	1.00000000e-04	6.07887791e-04	35.77609712	0.97567938
     102	1.00000000e-04	6.08504812e-04	35.76444740	0.97561854
     103	1.00000000e-04	6.08068929e-04	35.77936743	0.97574685
     104	1.00000000e-04	6.07238199e-04	35.76626437	0.97566368
     105	1.00000000e-04	6.07294977e-04	35.77369438	0.97567794
     106	1.00000000e-04	6.06623045e-04	35.76491881	0.97571190
     107	1.00000000e-04	6.06310992e-04	35.79289659	0.97575464
     108	1.00000000e-04	6.06431055e-04	35.76390945	0.97565318
     109	1.00000000e-04	6.06378676e-04	35.77561637	0.97576179
     110	1.00000000e-04	6.05833312e-04	35.73657921	0.97577461
     111	1.00000000e-04	6.05213234e-04	35.74707409	0.97580272
     112	1.00000000e-04	6.05791829e-04	35.79638541	0.97572651
     113	1.00000000e-04	6.04230727e-04	35.78232755	0.97579367
     114	1.00000000e-04	6.04827409e-04	35.76037647	0.97554077
     115	1.00000000e-04	6.04447618e-04	35.74566929	0.97561752
     116	1.00000000e-04	6.04466063e-04	35.79025841	0.97573867
     117	1.00000000e-04	6.03635007e-04	35.80485634	0.97575682
     118	1.00000000e-04	6.03830405e-04	35.79472015	0.97576041
     119	1.00000000e-04	6.03664921e-04	35.78822897	0.97573323
     120	1.00000000e-04	6.03178834e-04	35.79145691	0.97570740
     121	1.00000000e-04	6.03339755e-04	35.78015240	0.97578395
     122	1.00000000e-04	6.02733752e-04	35.78620917	0.97572801
     123	1.00000000e-04	6.02249347e-04	35.79863277	0.97582996
     124	1.00000000e-04	6.02255704e-04	35.80955738	0.97576897
     125	1.00000000e-04	6.02117811e-04	35.79172760	0.97579822
     126	1.00000000e-04	6.02453261e-04	35.79218948	0.97577962
     127	1.00000000e-04	6.00771997e-04	35.81265320	0.97581796
     128	1.00000000e-04	6.01775840e-04	35.80777372	0.97581341
     129	1.00000000e-04	6.00522811e-04	35.82792106	0.97587772
     130	1.00000000e-04	6.00463355e-04	35.83174445	0.97590653
     131	1.00000000e-04	6.00592709e-04	35.80959094	0.97581047
     132	1.00000000e-04	6.00680626e-04	35.81116265	0.97583799
     133	1.00000000e-04	6.00459495e-04	35.80476089	0.97583698
     134	1.00000000e-04	5.99773544e-04	35.83302831	0.97588230
     135	1.00000000e-04	6.00327833e-04	35.82465915	0.97592075
     136	1.00000000e-04	5.99199733e-04	35.81449751	0.97573958
     137	1.00000000e-04	5.99797794e-04	35.79466764	0.97572418
     138	1.00000000e-04	5.98609788e-04	35.78437688	0.97564640
     139	1.00000000e-04	5.99057136e-04	35.82637551	0.97588555
     140	1.00000000e-04	5.98913259e-04	35.81572548	0.97586969
     141	1.00000000e-04	5.98148939e-04	35.79779201	0.97580253
     142	1.00000000e-04	5.97997268e-04	35.80903897	0.97582779
     143	1.00000000e-04	5.98577873e-04	35.78019473	0.97586856
     144	1.00000000e-04	5.97364631e-04	35.83684732	0.97594069
     145	1.00000000e-04	5.98098184e-04	35.81030337	0.97575142
     146	1.00000000e-04	5.97241519e-04	35.79753818	0.97578613
     147	1.00000000e-04	5.97286913e-04	35.79282237	0.97569569
     148	1.00000000e-04	5.97231605e-04	35.79087311	0.97565798
     149	1.00000000e-04	5.96777853e-04	35.81225102	0.97583440
     150	1.00000000e-04	5.96332492e-04	35.80588770	0.97582146
