Parameters:
 Namespace(case_num=2, config_num=176, interp_scale=2, interp_method='TORCH', fixed_dnn='RCAN', model='RCAN', n_resblocks=20, n_feats=64, res_scale=1, shift_mean=True, n_resgroups=10, reduction=16, rgb_range=255, n_colors=3, print_model=False, save_models=False, chop=False, self_ensemble=False, pre_train='../Learned_RCAN_Models/RCAN_BIX2.pt', alpha=1.0, epsilon=0.1, rho=1.0, tol=1e-05, maxiter_forward=200, miniter_forward=5, maxiter_backward=80, miniter_backward=5, beta=0.9, jac_regul=False, jac_loss_weight=1.0, jac_loss_freq=0.35, jac_incremental=3500, spectral_radius_mode=False, dncnn_frozen=False, dncnn_num_layers=6, dncnn_lip=0.9, dncnn_bias=False, dncnn_bn=False, dncnn_skip=False, dncnn_weight_file='../Learned_DNCNN_Models/T91/RealSN_DnCNN/Layers_6/BN_False/sigma_0.01250_0.02500/best.pth', dncnn_lr=0.0001, sigmaL=0.0625, sigmaH=0.125, optimizer='adam', lr=0.0001, alpha_lr=0.001, decrease_lr=True, lr_step=60, lr_gamma=0.1, clip_grad=False, clip_norm=0.01, batch_size=512, num_epochs=80, num_workers=4, datasets_dir='../Data/', train_data='T91', eval_data='Set5', last_checkpoint='', best_weight_file='', output_dir='../Learned_DEQSR_Models', seed=123, use_gpu=True, verbose=True, verbose2=True)
Epoch No	LR            	Loss          	Val_Loss      	DF            	PSNR      	SSIM      	Beta      
      42	1.00000000e-03	4.00900200e-03	1.83660052e-04	1.00011051e-01	38.08968708	0.96606213	0.36486548
      43	1.00000000e-03	4.00869919e-03	1.83659294e-04	1.00014028e-01	38.08924853	0.96607724	0.35232967
      44	1.00000000e-03	4.00835269e-03	1.83664436e-04	1.00017145e-01	38.08911340	0.96607716	0.34152859
      45	1.00000000e-03	4.01047095e-03	1.83759473e-04	1.00015971e-01	38.08714171	0.96606512	0.33192140
      46	1.00000000e-03	4.00918404e-03	1.83747645e-04	1.00018477e-01	38.08711669	0.96606233	0.32251072
      47	1.00000000e-03	4.00545369e-03	1.83846663e-04	1.00019082e-01	38.08468607	0.96607838	0.31182846
      48	1.00000000e-03	4.01030117e-03	1.83939585e-04	1.00028151e-01	38.08256563	0.96606806	0.30191100
      49	1.00000000e-03	4.00619716e-03	1.84005848e-04	1.00032152e-01	38.08199645	0.96604889	0.29283592
      50	1.00000000e-03	4.01105174e-03	1.83998105e-04	1.00034301e-01	38.08107030	0.96604279	0.28369981
      51	1.00000000e-03	4.00953908e-03	1.84047701e-04	1.00037396e-01	38.08071698	0.96607708	0.27436748
      52	1.00000000e-03	4.00982560e-03	1.83982323e-04	1.00031389e-01	38.08197151	0.96605802	0.26881939
      53	1.00000000e-03	4.01016832e-03	1.84070030e-04	1.00036082e-01	38.07975106	0.96605600	0.26115689
      54	1.00000000e-03	4.00733890e-03	1.84109109e-04	1.00040209e-01	38.07862922	0.96604863	0.25438008
      55	1.00000000e-03	4.01034718e-03	1.84102575e-04	1.00035684e-01	38.07931843	0.96605602	0.24810809
      56	1.00000000e-03	4.00986744e-03	1.84224469e-04	1.00037242e-01	38.07613669	0.96605118	0.24130607
      57	1.00000000e-03	4.00751700e-03	1.84183878e-04	1.00032274e-01	38.07723761	0.96605087	0.23439740
